size	step	loss
0.05	1	1.50499391555786
0.05	2	0.962376296520233
0.05	3	0.76069974899292
0.05	4	0.731135249137878
0.05	5	0.624947965145111
0.05	6	0.547555029392242
0.05	7	0.457339853048325
0.05	8	0.480167269706726
0.05	9	0.439358979463577
0.05	10	0.482684224843979
0.05	11	0.440615862607956
0.05	12	0.426295667886734
0.05	13	0.376056760549545
0.05	14	0.360250949859619
0.05	15	0.358348190784454
0.05	16	0.348347127437592
0.05	17	0.354772478342056
0.05	18	0.309480160474777
0.05	19	0.318050473928452
0.05	20	0.343011498451233
0.05	21	0.326637327671051
0.05	22	0.31055223941803
0.05	23	0.288716793060303
0.05	24	0.298018932342529
0.05	25	0.281217306852341
0.05	26	0.293966054916382
0.05	27	0.278217494487762
0.05	28	0.319374680519104
0.05	29	0.280660152435303
0.05	30	0.270393401384354
0.05	31	0.252966463565826
0.05	32	0.282552719116211
0.05	33	0.256877481937408
0.05	34	0.28322422504425
0.05	35	0.28558537364006
0.05	36	0.273599714040756
0.05	37	0.277831703424454
0.05	38	0.273538649082184
0.05	39	0.273075997829437
0.05	40	0.264481395483017
0.05	41	0.239731818437576
0.05	42	0.247674837708473
0.05	43	0.252293884754181
0.05	44	0.242145270109177
0.05	45	0.259152948856354
0.05	46	0.257351338863373
0.05	47	0.279960721731186
0.05	48	0.268510639667511
0.05	49	0.258180111646652
0.05	50	0.278977811336517
0.05	51	0.259897112846375
0.05	52	0.267028272151947
0.05	53	0.256206870079041
0.05	54	0.24073913693428
0.05	55	0.245783418416977
0.05	56	0.262378513813019
0.05	57	0.286151021718979
0.05	58	0.262788891792297
0.05	59	0.250083237886429
0.05	60	0.26192918419838
0.05	61	0.272538185119629
0.05	62	0.272038370370865
0.05	63	0.236968845129013
0.05	64	0.236456200480461
0.05	65	0.268637746572494
0.05	66	0.254993915557861
0.05	67	0.282006978988647
0.05	68	0.27796471118927
0.05	69	0.252935528755188
0.05	70	0.273240864276886
0.05	71	0.249048069119453
0.05	72	0.245478808879852
0.05	73	0.253813832998276
0.05	74	0.240068376064301
0.05	75	0.235334530472755
0.05	76	0.263539910316467
0.05	77	0.2591472864151
0.05	78	0.27128604054451
0.05	79	0.250107169151306
0.05	80	0.25714510679245
0.05	81	0.26767435669899
0.05	82	0.251670986413956
0.05	83	0.283448994159698
0.05	84	0.246456578373909
0.05	85	0.25178137421608
0.05	86	0.278311371803284
0.05	87	0.234197795391083
0.05	88	0.274483025074005
0.05	89	0.277855515480041
0.05	90	0.242183417081833
0.05	91	0.260632991790771
0.05	92	0.256496489048004
0.05	93	0.243409812450409
0.05	94	0.259994000196457
0.05	95	0.270888030529022
0.05	96	0.257661759853363
0.05	97	0.260381728410721
0.05	98	0.278280138969421
0.05	99	0.26212665438652
0.05	100	0.25684916973114
0.1	1	1.30303311347961
0.1	2	0.729115545749664
0.1	3	0.708871245384216
0.1	4	0.566307902336121
0.1	5	0.503868639469147
0.1	6	0.486799657344818
0.1	7	0.444237440824509
0.1	8	0.391264826059341
0.1	9	0.407455205917358
0.1	10	0.371585160493851
0.1	11	0.366995304822922
0.1	12	0.381840020418167
